rank,world_size,M,K,N,num_comm_sms,impl,ms,tflops
6,8,4096,4096,512,64,TK,0.14812159538269043,115.98490510187717
7,8,4096,4096,512,64,NCCL,0.158297598361969,108.5289313405494
7,8,4096,4096,512,64,TK,0.14993280172348022,114.5837934495794
0,8,8192,8192,1024,1,NCCL,0.5985663890838623,229.61354993947728
0,8,8192,8192,1024,1,TK,0.5606336116790771,245.14932856126012
1,8,8192,8192,1024,1,NCCL,0.5982399940490722,229.73882528610446
1,8,8192,8192,1024,1,TK,0.5607679843902588,245.0905852291868
2,8,8192,8192,1024,1,NCCL,0.5888639926910401,233.39676933534335
2,8,8192,8192,1024,1,TK,0.5606656074523926,245.13533850686616
3,8,8192,8192,1024,1,NCCL,0.5891136169433594,233.29787246322323
3,8,8192,8192,1024,1,TK,0.560537576675415,245.19132916504796
4,8,8192,8192,1024,1,NCCL,0.5962944030761719,230.48841773958972
4,8,8192,8192,1024,1,TK,0.5605504035949707,245.1857185198058
5,8,8192,8192,1024,1,NCCL,0.5815104007720947,236.34822917959298
5,8,8192,8192,1024,1,TK,0.5600063800811768,245.4239065134888
6,8,8192,8192,1024,1,NCCL,0.58504319190979,234.92103723718267
6,8,8192,8192,1024,1,TK,0.5586175918579102,246.0340588539126
7,8,8192,8192,1024,1,NCCL,0.6027904033660889,228.00454802285572
7,8,8192,8192,1024,1,TK,0.5606080055236816,245.16052592508723
0,8,8192,8192,1024,2,NCCL,0.5741824150085449,239.36461633008153
0,8,8192,8192,1024,2,TK,0.4619840145111084,297.4972058664062
1,8,8192,8192,1024,2,NCCL,0.571014404296875,240.69262077764392
1,8,8192,8192,1024,2,TK,0.4620607852935791,297.4477771029098
2,8,8192,8192,1024,2,NCCL,0.5681727886199951,241.89640233531463
2,8,8192,8192,1024,2,TK,0.46189441680908205,297.5549140028003
3,8,8192,8192,1024,2,NCCL,0.565228796005249,243.15631907530002
3,8,8192,8192,1024,2,TK,0.4619647979736328,297.50958097860195
4,8,8192,8192,1024,2,NCCL,0.5666624069213867,242.54115288623154
4,8,8192,8192,1024,2,TK,0.4620096206665039,297.48071755243524
5,8,8192,8192,1024,2,NCCL,0.5688000202178956,241.62965644647826
5,8,8192,8192,1024,2,TK,0.46161279678344724,297.73644584743965
6,8,8192,8192,1024,2,NCCL,0.5700799942016601,241.0871366648631
6,8,8192,8192,1024,2,TK,0.4598720073699951,298.8634908613212
7,8,8192,8192,1024,2,NCCL,0.5752831935882569,238.9066028763012
7,8,8192,8192,1024,2,TK,0.4619647979736328,297.50958097860195
0,8,8192,8192,1024,4,NCCL,0.567468786239624,242.19649926958957
0,8,8192,8192,1024,4,TK,0.49811840057373047,275.91623460144905
1,8,8192,8192,1024,4,NCCL,0.5657663822174073,242.9252740916414
1,8,8192,8192,1024,4,TK,0.49866881370544436,275.61168794722937
2,8,8192,8192,1024,4,NCCL,0.5675456047058105,242.16371747472525
2,8,8192,8192,1024,4,TK,0.49855360984802244,275.67537523977904
3,8,8192,8192,1024,4,NCCL,0.5676479816436768,242.12004255530493
3,8,8192,8192,1024,4,TK,0.49850239753723147,275.70369601228475
4,8,8192,8192,1024,4,NCCL,0.5631423950195312,244.05719528048186
4,8,8192,8192,1024,4,TK,0.4986623764038086,275.6152458566559
5,8,8192,8192,1024,4,NCCL,0.5637504100799561,243.79397516093545
5,8,8192,8192,1024,4,TK,0.49793281555175783,276.01907160849464
6,8,8192,8192,1024,4,NCCL,0.5652991771697998,243.12604550407337
6,8,8192,8192,1024,4,TK,0.4963263988494873,276.912438650435
7,8,8192,8192,1024,4,NCCL,0.569484806060791,241.33910511622807
7,8,8192,8192,1024,4,TK,0.4985983848571777,275.6506191077395
0,8,8192,8192,1024,8,NCCL,0.5713024139404297,240.57128084589348
0,8,8192,8192,1024,8,TK,0.5517504215240479,249.09623646931783
1,8,8192,8192,1024,8,NCCL,0.5683775901794433,241.80924062929532
1,8,8192,8192,1024,8,TK,0.5515711784362793,249.1771848225346
2,8,8192,8192,1024,8,NCCL,0.5672639846801758,242.28394042940738
2,8,8192,8192,1024,8,TK,0.5517759799957276,249.08469823761482
3,8,8192,8192,1024,8,NCCL,0.5623040199279785,244.4210757902879
3,8,8192,8192,1024,8,TK,0.5516608238220215,249.13669330331308
4,8,8192,8192,1024,8,NCCL,0.5680064201354981,241.9672535377574
4,8,8192,8192,1024,8,TK,0.5518335819244384,249.05869808195047
5,8,8192,8192,1024,8,NCCL,0.567577600479126,242.15006609841478
5,8,8192,8192,1024,8,TK,0.5515583992004395,249.18295808972695
6,8,8192,8192,1024,8,NCCL,0.5696127891540528,241.2848799903427
6,8,8192,8192,1024,8,TK,0.54999680519104,249.890457862316
7,8,8192,8192,1024,8,NCCL,0.571999979019165,240.27789949865553
7,8,8192,8192,1024,8,TK,0.5517632007598877,249.09046721984942
0,8,8192,8192,1024,16,NCCL,0.5665919780731201,242.57130137882604
0,8,8192,8192,1024,16,TK,0.5461696147918701,251.64152261449794
1,8,8192,8192,1024,16,NCCL,0.5665919780731201,242.57130137882604
1,8,8192,8192,1024,16,TK,0.5460800170898438,251.68281052369633
2,8,8192,8192,1024,16,NCCL,0.5668416023254395,242.4644784507057
2,8,8192,8192,1024,16,TK,0.5461631774902344,251.6444885639649
3,8,8192,8192,1024,16,NCCL,0.5690303802490234,241.5318377409883
3,8,8192,8192,1024,16,TK,0.546451187133789,251.51185816410435
4,8,8192,8192,1024,16,NCCL,0.56943359375,241.36081007602124
4,8,8192,8192,1024,16,TK,0.5464704036712646,251.50301379299935
5,8,8192,8192,1024,16,NCCL,0.5683584213256836,241.8173960569224
5,8,8192,8192,1024,16,TK,0.545804786682129,251.80972542852217
6,8,8192,8192,1024,16,NCCL,0.5607232093811035,245.11015626354722
6,8,8192,8192,1024,16,TK,0.5441792011260986,252.56193766242876
7,8,8192,8192,1024,16,NCCL,0.5652416229248047,243.15080117566606
7,8,8192,8192,1024,16,TK,0.5464128017425537,251.5295268223883
0,8,8192,8192,1024,32,NCCL,0.5720191955566406,240.2698275505528
0,8,8192,8192,1024,32,TK,0.5703999996185303,240.95188212467716
1,8,8192,8192,1024,32,NCCL,0.5670464038848877,242.3769069522228
1,8,8192,8192,1024,32,TK,0.5704703807830811,240.92215494753367
2,8,8192,8192,1024,32,NCCL,0.5650559902191162,243.2306812970945
2,8,8192,8192,1024,32,TK,0.5703936100006104,240.95458129668197
